Title,Artist,Category
Noa Noa (1894) ,"Paul Gauguin (French, 1848-1903)",abstract
Tulák (1924–1927) ,"Konštantín Bauer (Slovak, 1893-1928)",abstract
Still Life with Apples (1940) ,"Arnold Peter Weisz-Kubínčan (Slovak, 1898 - 1944)",abstract
Lamentation of Christ (1940) ,"Arnold Peter Weisz-Kubínčan (Slovak, 1898 - 1944)",abstract
V. Beneš; Řezba v linoleu = Gravure (1911-1913) ,Vincenc Beneš,abstract
Zur Farbenlehre Pl.09 (1810) ,"Johann Wolfgang Von Goethe (German, 1749-1832)",abstract
Kompozycja abstrakcyjna II (1934) ,"Sasza Blonder (Polish, 1909-1949)",abstract
Montmartre,"Giuseppe Cominetti (Italian, 1882-1930)",abstract
The Feather (1922) ,"Man Ray (American, 1890-1976)",abstract
Achterzijde van een staande naakte vrouw (1906) ,"Reijer Stolk (Dutch, 1896 - 1945)",abstract
La Nourrice (circa 1894-95) ,"Édouard Vuillard (French, 1868-1940)",abstract
Zorn (around 1923) ,"Karl Wiener (Austrian, 1901-1949)",abstract
Bar (1924) ,"Mikuláš Galanda (Slovak, 1895 – 1938)",abstract
Still Life (probably 1920) ,"Roger de La Fresnaye (French, 1885-1925)",abstract
Ontwerp voor wandtapijt met tien duiven (1874) ,"Carel Adolph Lion Cachet (Dutch, 1864 – 1945)",abstract
Fall (Sturz) (1919) ,"Johannes Molzahn (German, 1892–1965)",abstract
The Channel Sketchbook 24 (ca. 1845) ,"Joseph Mallord William Turner (English, 1775-1851)",abstract
Nature Morte Aux Fruits (1929) ,"Georges Valmier (French, 1885 – 1937)",abstract
